Year,Region,Industry_Sector,CO2_Emissions_Metric_Tons,Methane_Emissions_Metric_Tons,Nitrous_Oxide_Emissions_Metric_Tons,Total_Energy_Consumption_MWh,Renewable_Energy_Consumption_MWh,Non_Renewable_Energy_Consumption_MWh,Total_Waste_Generated_Tons,Recycling_Rate_Percentage,CO2_Reduction_Target_Achieved_Percentage,Renewable_Energy_Goal_Achieved_Percentage,Waste_Reduction_Target_Achieved_Percentage
2008,South America,Agriculture,1092222,45423,10841,577300,196602,672798,27322,87,39,23,24
2004,Europe,Energy,2400772,56560,25243,825491,113438,585261,46359,62,27,32,15
2015,Europe,Construction,3003931,74562,17562,808517,362000,211992,14088,59,6,35,11
2003,Oceania,Construction,2169809,10944,11276,1066986,175316,544831,11503,61,27,21,12
2003,Africa,Retail,1079919,33101,14739,737222,288661,690995,3499,52,6,19,16
2000,South America,Manufacturing,1767116,-4209,14815,482003,285449,532944,23271,83,27,22,12
2010,South America,Agriculture,2143350,36675,15907,1072058,156858,335062,13770,72,11,14,26
2020,Africa,Construction,1646825,77045,16990,837629,138698,527602,29497,46,41,16,24
2008,Asia,Manufacturing,2595558,52116,12964,1157807,159246,531643,12937,58,25,11,25
2010,North America,Transportation,2334568,12736,13030,879573,256461,363910,35729,41,38,38,14
2008,Europe,Retail,3908092,28362,4437,374093,197595,485073,34560,86,20,10,14
2006,Asia,Construction,1975752,29185,8585,654193,27726,817794,7663,48,47,15,17
2014,South America,Manufacturing,2454775,42829,8091,930339,265260,748671,19437,76,43,11,26
2012,Oceania,Retail,1350838,14055,14546,664990,287497,320192,25049,88,12,38,19
2000,Europe,Transportation,1853932,58999,11300,475541,76796,324311,37643,52,21,13,14
2009,Asia,Agriculture,1754979,41249,16582,477331,257246,340067,13228,55,9,13,31
2017,Europe,Transportation,3209199,74665,15042,1227214,68568,934108,22155,91,38,37,20
2011,North America,Retail,1142738,61736,19520,501202,297155,333042,29350,40,37,12,11
2008,South America,Transportation,2884582,67757,19312,698235,218494,747910,12407,68,42,31,20
2013,South America,Transportation,4163373,23424,15849,767716,172078,441467,38942,93,43,38,19
2006,Africa,Manufacturing,800277,55187,15971,617600,285686,191632,20599,68,22,14,19
2001,North America,Agriculture,1684024,73073,6640,647017,187403,623921,32531,51,46,38,29
2015,South America,Energy,1845644,51040,19412,192838,172052,613565,29054,89,43,25,21
2013,South America,Energy,1825197,40660,9774,909178,293198,340245,31568,94,44,22,20
2006,Europe,Construction,1253692,64161,15999,985200,385749,470302,37392,43,15,36,13
2010,Africa,Agriculture,2321595,24709,21749,192926,309946,271992,32234,93,27,19,16
2002,Oceania,Manufacturing,1441374,40010,24563,130239,238266,317586,17096,83,39,21,29
2017,North America,Transportation,2828819,55180,8805,807017,180225,457242,17615,46,25,29,14
2017,Africa,Transportation,278436,89765,15335,816241,205772,320714,10883,76,6,24,19
2016,Africa,Construction,708715,59582,6128,778949,71320,519231,28900,67,8,14,27
2003,North America,Energy,2256994,32695,17450,609075,191602,587554,17659,93,7,34,12
2002,South America,Energy,846012,18174,19743,661788,270145,368200,33417,53,6,21,11
2003,Asia,Agriculture,1510650,54119,11252,443004,173335,298629,19724,81,40,16,21
2003,South America,Construction,2316326,84993,23025,657886,139595,90362,18431,61,38,39,18
2020,Africa,Retail,77685,61062,15287,643818,86732,666438,24710,68,25,18,34
2013,Europe,Transportation,304034,40323,12278,1122352,48804,659506,38456,55,35,16,14
2014,Africa,Construction,603361,60613,11239,651717,224292,689213,44117,74,21,29,14
2011,South America,Retail,1210575,29105,17061,390350,217737,132045,16436,59,47,16,22
2014,Asia,Agriculture,2908141,22525,5943,708167,249465,287967,26868,50,47,33,16
2008,Europe,Transportation,2545164,3809,10266,846530,118318,300680,35364,60,7,30,26
2001,Africa,Construction,225889,45297,15695,641651,270569,915003,29014,42,7,19,15
2020,Africa,Construction,3119099,47281,6534,389002,104424,275636,21287,49,5,22,34
2015,Africa,Transportation,2093083,27685,15402,846905,90609,342825,16594,86,18,27,24
2014,Asia,Transportation,1983592,47216,13489,365598,165729,103464,34071,58,22,39,10
2002,Asia,Retail,865985,62090,9710,571566,125773,138315,23780,59,32,22,31
2011,North America,Retail,1317390,94539,16004,228097,172545,415466,28571,72,12,30,24
2015,North America,Retail,2379720,73186,13653,808314,238552,183173,18006,74,7,35,13
2004,South America,Energy,1803549,55854,9551,869882,260008,663827,30067,47,18,15,15
2012,Oceania,Construction,2010033,66502,9903,598999,224655,1115950,11876,69,8,31,12
2007,Asia,Energy,1419090,57048,11805,753357,320249,482483,19666,46,11,25,29
2022,South America,Retail,3037812,30139,14488,657776,225724,496921,3559,47,13,14,10
2005,Oceania,Agriculture,2330076,469,16436,752162,279537,28517,36666,51,39,21,30
2012,South America,Manufacturing,-40765,40095,15462,822702,132482,849690,27894,87,14,12,12
2021,Europe,Manufacturing,1160878,59976,16554,267697,362109,661701,24011,84,45,33,28
2000,Europe,Agriculture,1210695,26633,17463,870887,282397,397689,-2166,59,6,22,32
2011,Africa,Agriculture,2334456,62284,7713,1506950,181132,523148,29533,60,14,11,24
2009,Europe,Manufacturing,-48629,77017,18284,713293,138995,602294,12851,45,11,37,16
2003,South America,Agriculture,1817251,28414,20329,680622,240223,575870,22643,74,17,32,34
2008,North America,Retail,2050232,20423,16919,1062539,231854,191714,20398,72,25,23,28
2007,South America,Agriculture,782578,42875,8725,1027165,227893,416463,17656,45,37,20,23
2016,South America,Manufacturing,2052159,56444,15737,976452,112632,693595,29080,50,47,39,33
2015,South America,Manufacturing,1227382,12252,29135,776394,95163,315190,20362,71,24,38,18
2006,Africa,Energy,2454739,23595,18600,787392,142682,756159,36285,81,23,24,14
2011,North America,Construction,2617849,-7785,15676,818822,128207,270771,41957,71,19,38,20
2016,Oceania,Transportation,2536996,38357,15344,822316,155090,535657,31423,54,37,21,19
2010,Oceania,Transportation,1093075,56530,11627,562148,231754,298358,14027,79,16,10,23
2015,Oceania,Construction,1663557,55605,20578,448775,133466,367316,31009,46,32,38,12
2022,Asia,Manufacturing,1763366,70028,8819,382873,202249,616239,21269,59,40,25,26
2003,North America,Retail,1368985,68962,11294,369416,-1368,456707,21296,94,43,29,34
2021,Europe,Energy,2763119,51923,16206,603855,132438,627699,27538,76,17,21,15
2008,North America,Manufacturing,2570746,42942,18592,619012,263986,296488,37267,93,31,27,24
2005,South America,Agriculture,2026606,31500,14521,757228,289190,463979,57269,79,44,23,13
2014,Oceania,Manufacturing,2061240,19905,16347,1000592,64839,341809,37636,85,17,32,14
2006,South America,Agriculture,3525623,41210,19584,469448,247195,676174,24856,56,5,22,11
2006,South America,Construction,3207243,27119,22768,666258,205388,777052,36269,86,7,34,11
2007,Asia,Transportation,2152540,28074,9181,784521,193391,739011,16590,47,13,37,17
2013,Asia,Manufacturing,1404634,46338,9529,381645,203050,712294,37880,42,20,38,12
2001,Europe,Construction,2284014,50081,12087,1016303,200427,457311,31319,83,10,12,32
2007,Europe,Transportation,428315,59148,21609,740129,282014,770283,19322,64,34,39,26
2017,South America,Construction,3734602,50638,21091,923771,79714,379298,29682,77,9,17,13
2012,North America,Agriculture,2576907,65406,21724,746056,237052,438025,41439,76,17,33,32
2001,North America,Agriculture,2452989,64941,18024,777070,144998,407844,23730,42,42,29,11
2004,Oceania,Agriculture,3414375,41790,12864,631407,140707,684900,28392,94,5,16,11
2007,South America,Energy,1104037,72577,13107,646703,253161,514582,24179,49,31,25,30
2018,Asia,Agriculture,2293017,58661,23644,629089,194783,676852,28006,47,37,33,18
2007,Africa,Manufacturing,1764427,63310,11651,709639,165704,751174,26826,61,9,17,24
2007,Asia,Energy,1945545,97222,14918,1171915,302802,602602,14822,41,28,15,25
2009,North America,Manufacturing,1089621,49142,23338,711282,193725,573928,30014,65,44,11,16
2000,Oceania,Transportation,3351072,20527,19633,313032,269550,420394,13527,76,31,17,22
2010,Europe,Manufacturing,3177441,47098,16854,823258,263858,621624,44258,61,13,17,12
2008,Africa,Energy,987334,46634,10907,563888,128282,791054,18200,77,14,18,27
2013,Africa,Agriculture,1811150,2970,4619,815423,276133,600738,50112,90,28,29,29
2018,Europe,Manufacturing,1928555,60273,15002,832926,218140,715615,17914,50,25,35,13
2020,South America,Transportation,1510611,68180,19044,842268,180660,238223,43029,74,5,19,19
2007,South America,Manufacturing,2456433,42842,7671,52077,206078,728877,12349,75,20,36,15
2000,North America,Construction,2033227,56837,19309,1013673,187294,692528,-11166,85,48,38,31
2004,Asia,Transportation,920839,62993,11063,837859,97983,680068,17484,87,47,25,31
2022,Asia,Energy,1180768,48757,7638,271197,172957,560984,30894,79,42,28,10
2005,Europe,Retail,1471271,32456,13010,688047,285054,500208,39757,81,16,31,28
2017,Oceania,Construction,1901306,40326,-720,568480,154015,460358,18254,53,28,11,28
2022,South America,Manufacturing,3786027,62082,9451,847378,50438,398259,38307,44,19,28,18
2002,Europe,Retail,2238555,27845,17503,949326,168953,395913,5992,40,26,31,20
2005,Oceania,Agriculture,1209641,45448,14775,966197,301906,623186,30666,82,13,10,11
2012,Europe,Construction,2709506,23719,12641,578263,124876,520080,31646,50,33,18,18
2003,Europe,Manufacturing,291385,62088,6301,724083,5789,348144,19132,71,41,25,26
2008,Africa,Retail,1264732,64311,14223,776414,122426,300303,25448,72,31,15,13
2004,Europe,Retail,2253174,58250,17311,779115,408333,299617,26444,89,5,10,15
2017,Asia,Transportation,2056266,84239,15513,341640,222387,-27852,32199,49,46,21,14
2007,Europe,Transportation,2313966,98775,6205,893585,129099,694493,29638,77,17,37,15
2011,North America,Construction,1646322,59043,7087,767076,225256,754432,4385,50,22,30,26
2003,Africa,Agriculture,2411561,49360,12466,1030279,346990,713632,11196,78,30,12,26
2018,Asia,Transportation,3353301,32709,16785,687076,150554,521440,15758,55,12,23,12
2007,North America,Agriculture,2568591,84874,15194,774728,249975,515203,30024,90,43,12,33
2003,Africa,Retail,1938296,63207,15918,905999,231816,448628,39481,48,15,39,22
2019,Europe,Energy,2911072,51675,10311,1238603,255929,685712,-4244,52,23,34,21
2016,South America,Manufacturing,2429035,33812,16152,630325,233188,649268,19676,85,47,15,31
2013,Europe,Construction,2094157,34420,3898,610431,348140,333666,28753,52,29,29,31
2020,South America,Manufacturing,995569,54947,12782,1048194,210066,819520,10309,60,31,31,14
2021,North America,Construction,2985004,75924,14257,384405,57067,859977,25171,42,6,15,12
2020,Africa,Agriculture,1282821,80397,16348,654662,176036,607764,29030,94,31,27,26
2004,South America,Transportation,1921875,65323,13973,513966,170225,432144,22715,94,48,12,17
2013,Europe,Manufacturing,781665,61414,11151,334455,239192,617130,39658,48,12,21,26
2000,Europe,Agriculture,1356159,50226,12803,432298,257145,749704,17172,78,9,19,30
2008,Africa,Transportation,1492243,52502,6935,1095177,272951,714381,21173,64,22,35,32
2000,South America,Energy,3263097,74594,19410,377202,149748,475829,23977,94,41,38,34
2013,Europe,Transportation,981163,49741,7075,1039772,150032,350123,17767,49,39,34,22
2019,North America,Manufacturing,2489814,79011,17640,971571,262986,539092,37436,84,14,39,32
2005,South America,Agriculture,1512614,66022,20830,697522,120648,376621,18696,84,34,27,32
2005,Europe,Transportation,3944417,30329,6958,697156,136874,351772,30437,43,38,12,30
2007,Europe,Agriculture,831341,62621,15033,-209617,152005,210109,31188,80,24,18,29
2016,Africa,Energy,1920137,49735,16956,939856,20194,544873,13292,56,35,33,13
2019,Asia,Construction,1949641,82905,15090,750734,127937,183231,12143,76,15,31,15
2009,Oceania,Manufacturing,1533388,49328,15712,767835,100719,785904,34544,50,47,36,24
2017,Asia,Energy,541189,37917,21784,142661,173508,695121,6332,46,9,15,16
2008,North America,Manufacturing,1348695,49716,20103,523499,199247,137796,37538,46,43,32,19
2021,Africa,Manufacturing,1256828,51249,17223,394628,301507,495633,13817,88,16,28,21
2004,North America,Energy,1358105,32817,20321,627571,248500,535466,25832,90,12,29,31
2004,Europe,Energy,-260432,52225,19938,1058483,176716,462424,34541,42,15,36,22
2018,South America,Manufacturing,1671387,49616,6242,723989,145461,221325,16488,79,22,19,20
2020,Asia,Transportation,3158549,14399,8490,884678,243393,486793,11815,74,24,38,14
2020,South America,Retail,2612884,21423,14796,893466,228660,98956,41960,77,36,16,23
2016,Europe,Agriculture,2726667,49836,20038,726666,157810,435193,13409,63,49,14,15
2004,Europe,Agriculture,1833698,68984,4301,672887,180047,755252,31112,91,23,28,16
2001,Europe,Transportation,2921379,61703,17337,562795,169811,403169,3215,43,37,22,30
2017,Oceania,Energy,3105358,31818,17739,1139376,125091,640336,20007,82,15,29,27
2001,Africa,Retail,1386309,64393,19963,483977,353607,183006,37734,54,43,22,17
2018,South America,Manufacturing,772406,69459,12271,1096987,188805,506839,25287,63,6,13,20
2005,North America,Agriculture,2370801,100031,17545,815109,167414,437010,16935,46,45,25,19
2014,North America,Agriculture,1534926,49884,14876,609238,134492,649994,6755,63,24,35,28
2009,South America,Retail,3115086,73858,10573,877902,187361,564096,4971,81,32,14,12
2021,South America,Construction,655044,48685,21134,805740,279887,199227,33893,65,22,10,17
2001,Africa,Agriculture,2135779,68308,11295,880493,163434,309588,24223,48,40,31,15
2003,Oceania,Retail,2487551,41528,18378,1261024,212297,546809,13353,47,27,36,24
2016,Europe,Construction,1733496,61116,16331,883016,186456,485096,28627,88,21,20,16
2002,Oceania,Transportation,2335191,42657,27437,350146,149452,294237,29286,68,10,33,33
2010,Oceania,Energy,2339656,57759,19207,1100839,308242,377630,20600,83,22,32,31
2002,Africa,Construction,2060606,88183,17451,269020,264695,638471,41644,77,8,16,14
2000,Europe,Retail,1328128,48753,9354,855162,250750,540455,24247,73,35,26,28
2018,Europe,Agriculture,2874237,47928,26078,999555,189182,726033,7687,59,31,26,24
2007,North America,Transportation,4020810,16464,12861,558150,224662,468777,9442,93,39,27,12
2002,South America,Manufacturing,1628892,44665,14055,532658,301772,377028,34811,53,32,35,23
2001,Oceania,Manufacturing,1547707,96949,4519,419033,198306,639009,21035,72,29,35,12
2018,Africa,Manufacturing,2485460,68745,15638,318545,219538,695596,40903,59,38,18,15
2004,Europe,Retail,1548813,71755,5717,807809,182202,829431,36393,92,13,20,33
2004,South America,Manufacturing,2861317,38835,9481,696547,123658,327065,25532,94,49,24,31
2001,Oceania,Construction,1838015,-974,10645,378987,320793,523260,32900,53,47,24,34
2012,Asia,Transportation,1789506,80505,19022,791284,113465,447962,22674,48,15,33,15
2009,Africa,Energy,3148482,54298,19054,809229,154860,160347,22984,82,16,35,12
2019,North America,Agriculture,1347796,47756,18261,789946,98664,464203,20342,73,48,22,12
2011,Oceania,Manufacturing,2588412,85564,9729,809612,137440,278353,17400,92,9,24,21
2004,Europe,Construction,1722064,40181,21056,618622,284963,643475,33244,86,42,37,14
2011,Europe,Transportation,2242137,52979,16496,427093,219428,358151,20142,90,36,23,30
2004,Asia,Transportation,2476172,62171,17781,795903,203137,801399,35593,92,40,35,17
2011,South America,Construction,3062838,37522,22553,249223,292274,326406,21795,92,46,23,15
2003,North America,Energy,2333458,31462,26799,245489,345558,361517,25900,65,9,14,26
2021,Europe,Transportation,1944353,87030,17709,778721,143404,718511,22114,54,48,12,26
2007,Asia,Retail,1610189,41343,11913,755942,382884,644680,32829,94,43,34,19
2011,Europe,Agriculture,1434582,50059,18886,947323,183392,544052,30346,50,14,31,26
2013,Oceania,Transportation,2662736,40413,12946,449410,295998,602546,34854,49,28,28,16
2008,North America,Construction,3226525,63246,9613,976619,219025,853577,21968,41,22,12,22
2018,Asia,Energy,2213202,54778,17830,665802,95869,385342,31533,94,6,13,16
2003,Europe,Transportation,2014188,51648,15279,357844,320628,471061,29568,58,6,29,14
2014,Europe,Construction,2589003,9253,15678,585105,313499,599574,21615,84,38,39,30
2000,Oceania,Energy,2933656,53269,11620,647510,179749,622191,14412,66,26,28,16
2001,Europe,Transportation,3246124,45596,13819,237544,161299,367318,34064,40,17,12,29
2008,South America,Agriculture,886623,47944,14907,921989,142269,312476,7385,89,26,30,25
2006,Europe,Construction,2885845,40786,9456,613236,152799,675096,22393,52,40,29,20
2018,Asia,Energy,1424468,81308,11888,525244,151800,531413,31975,67,42,39,24
2008,South America,Energy,1795731,88181,5861,487456,237436,727858,35037,54,26,34,12
2008,North America,Energy,1297576,41522,11952,1382622,289966,289346,18636,92,33,18,18
2002,Oceania,Retail,1334654,62372,14873,1301453,222540,315868,18940,70,26,28,24
2000,Oceania,Agriculture,2142285,28067,22789,989362,239493,258400,43603,79,25,26,23
2005,Europe,Manufacturing,2507812,78304,17273,604325,110976,630237,30500,49,19,27,21
2021,Asia,Transportation,1914889,66206,7911,650143,300273,479188,22483,47,43,14,33
2022,South America,Construction,2083352,24274,16669,803892,220746,523709,35827,89,11,35,22
2008,Europe,Construction,2780449,81964,13067,1042796,293482,485609,13581,53,26,14,23
2011,Africa,Agriculture,3201680,63059,11163,1191339,175761,502464,35792,70,21,23,34
2021,Africa,Construction,2552567,15494,19933,1038217,217781,594575,51226,42,25,12,24
2002,Europe,Transportation,2008880,47696,16424,578874,144053,618117,35206,92,15,21,11
2012,South America,Transportation,2949475,49748,12239,864961,142772,296082,15189,46,26,35,14
2014,Asia,Manufacturing,2660610,47589,12431,781373,317865,771258,16748,69,28,23,15
2021,South America,Retail,2032941,41955,6036,650351,260351,188258,21975,80,32,28,34
2005,Asia,Retail,1967511,73138,18495,979526,145310,447215,29625,94,48,28,19
2004,North America,Manufacturing,1593934,47897,15226,1222255,242827,535107,30352,67,19,13,20
2001,Europe,Construction,1257611,50028,19993,674403,218738,82401,23034,48,38,25,28
2014,Asia,Retail,2511021,30903,9319,592966,121584,766118,39609,64,33,24,17
2017,Europe,Retail,2036990,67953,12908,998206,25292,543113,11338,47,18,39,18
2022,South America,Energy,1721581,72304,17191,800529,257604,671277,30458,48,16,12,31
2002,Europe,Construction,1396889,52737,19257,752558,328296,353134,33434,76,30,23,30
2015,Oceania,Agriculture,1816997,38727,16764,-78385,190919,561319,27554,74,8,13,23
2020,South America,Agriculture,2576143,29067,15342,410549,235269,891985,32431,63,16,19,10
2008,Africa,Agriculture,2872270,42262,14731,952993,256591,448414,24913,71,49,31,34
2020,Oceania,Transportation,815691,64470,8626,736541,72230,317087,12459,80,31,25,22
2022,Europe,Manufacturing,1663088,47869,14975,395962,79803,617745,41104,71,9,22,19
2001,Asia,Construction,3242854,69363,9361,800788,31934,673878,42642,55,22,22,12
2006,Oceania,Retail,2550336,61485,20419,737508,91975,547906,2286,68,39,10,16
2002,South America,Construction,2480947,73954,15556,570694,127557,324797,42334,55,38,23,28
2021,Africa,Energy,2031617,57670,14780,497089,136881,327584,15708,81,42,28,31
2008,Africa,Retail,933990,38580,17731,484480,317684,613582,25955,78,6,15,28
2008,North America,Transportation,2180107,66491,17332,494046,119064,534992,20124,75,19,22,30
2010,Oceania,Retail,1920627,45578,11696,781261,83796,503655,23301,63,8,29,16
2000,South America,Retail,-136949,50309,20242,544279,104354,329963,42045,78,31,28,22
2006,Asia,Manufacturing,966471,38839,13056,834348,240106,354280,32593,78,46,10,13
2015,Asia,Retail,1672952,39409,8182,81396,164228,384881,23929,82,22,26,12
2017,Asia,Agriculture,2013497,42071,3679,476178,242351,509723,25854,47,47,25,15
2020,Africa,Transportation,2798693,74851,9614,722222,156002,318664,18297,63,25,19,17
2018,Asia,Transportation,2336318,32348,10184,651936,147599,689234,32135,71,20,28,26
2007,Oceania,Retail,2503701,59826,15956,846754,176222,274796,47716,92,10,18,29
2014,Asia,Retail,392104,62681,4508,627562,119972,481223,26112,93,9,36,30
2022,Asia,Transportation,3049340,62547,19334,1243021,273485,714456,36116,90,27,26,11
2000,Europe,Energy,3044959,33125,16664,533013,195182,596639,21638,62,19,11,12
2005,North America,Transportation,1843025,55865,19495,721621,282555,593793,19514,56,35,24,11
2000,Africa,Transportation,2412971,46313,19419,953192,111879,524290,33230,69,10,38,10
2005,Europe,Agriculture,1567848,61165,13471,725002,340675,508101,15404,44,43,15,26
2002,Asia,Transportation,1851121,47790,18090,444262,331884,351468,20191,41,44,22,24
2007,Africa,Agriculture,3964440,28363,15713,380902,376826,274873,22067,49,11,31,17
2015,Europe,Agriculture,2215909,38659,19873,1083243,215082,598810,10476,77,28,11,15
2018,Asia,Agriculture,609758,67329,16819,553943,231148,414154,20345,94,6,27,27
2022,Africa,Manufacturing,2516777,28488,22295,335193,167894,258326,36995,58,17,25,31
2017,Asia,Manufacturing,3241100,32761,17107,649514,187528,715651,23236,40,19,16,28
2014,Asia,Retail,2297808,58339,11775,682943,104517,311722,22803,65,33,21,26
2013,Asia,Transportation,1821714,13782,17246,875213,318413,348575,1171,64,27,13,17
2010,South America,Agriculture,2426109,27537,10550,787711,113707,389634,41704,68,16,27,28
2021,North America,Energy,2010650,43027,8501,693470,288300,454778,13367,52,35,30,27
2017,North America,Transportation,2112120,58975,5264,1032159,16926,461621,35602,61,12,21,33
2020,Europe,Transportation,3771588,45799,6826,675281,112154,722628,19694,83,42,38,10
2009,Africa,Construction,1575297,34338,7771,585038,265617,275531,31754,62,14,29,21
2005,Oceania,Retail,2647310,17023,11998,953428,135017,431081,32520,46,47,12,27
2004,Asia,Energy,3379558,34613,12720,424991,237486,407296,22695,62,38,18,26
2009,Asia,Energy,1152112,73730,21028,670839,117358,752559,32672,64,38,11,18
2005,Asia,Construction,2641711,67344,10534,1039916,178991,314405,51641,69,39,33,27
2007,Europe,Manufacturing,1160596,68956,11502,484672,128182,731863,31469,79,14,26,17
2002,Oceania,Energy,1971627,53728,8572,761600,254929,745051,25756,59,33,30,15
2016,Oceania,Energy,2063099,40678,17549,715035,169631,452734,33824,67,18,22,25
2007,South America,Agriculture,1947433,77625,16480,650586,298938,592873,17813,58,14,28,28
2004,Oceania,Energy,3532783,74259,17325,337915,314659,575069,20365,43,48,27,13
2003,Europe,Construction,44416,35648,6986,930780,165253,193827,33889,57,34,33,13
2003,Oceania,Transportation,2286067,45210,17941,632563,330993,394284,30887,81,21,31,29
2012,North America,Manufacturing,1329843,69255,12390,641742,200431,610118,11630,70,49,15,32
2005,South America,Agriculture,1251783,58252,22685,706563,245433,224791,25937,68,32,14,19
2017,South America,Energy,778924,47123,10500,306412,158018,541487,26862,63,32,22,15
2012,Oceania,Agriculture,1475001,78859,16286,496273,218035,371071,39832,70,8,27,16
2005,Asia,Transportation,1359884,61338,16684,526716,357062,414700,14294,86,35,30,12
2019,South America,Manufacturing,2181916,56039,14824,160342,109788,340423,29335,64,41,32,32
2011,Europe,Manufacturing,701425,69822,11148,867966,149615,381272,38936,66,9,32,27
2017,Oceania,Retail,1484573,54554,20976,716106,288619,804191,29656,43,15,12,24
2003,Asia,Transportation,2384866,37694,19002,419195,280315,724071,27308,67,32,13,13
2007,South America,Construction,3060359,65651,11092,616752,316175,538975,30605,50,33,36,17
2011,Asia,Agriculture,1337881,17942,20554,678828,147224,513286,39039,79,8,29,25
2004,Asia,Transportation,1430015,41535,17561,1237393,105116,657278,32456,40,20,37,23
2017,Asia,Transportation,795340,63430,14903,537662,234909,188002,28635,50,15,19,25
2013,Oceania,Transportation,2351581,40571,27488,840014,204140,822032,11675,71,45,12,15
2002,Europe,Energy,1879937,78525,20819,923533,148572,435417,18770,52,38,15,26
2013,Africa,Transportation,3087272,52864,17499,712418,251910,586768,38181,53,30,26,16
2005,South America,Transportation,2634370,39182,16593,768732,227087,496982,37340,75,12,27,32
2017,Africa,Construction,3884524,58390,11874,722445,122217,488377,32405,57,37,26,33
2008,North America,Manufacturing,826139,64182,13232,394357,218743,450381,10500,87,44,34,23
2015,Asia,Construction,1300044,47164,17071,408664,297573,412328,25462,73,41,21,31
2006,Oceania,Energy,2192488,28517,14911,1190345,146156,526063,25492,82,34,26,13
2014,Asia,Energy,1729103,57884,19714,995696,207985,845016,22211,51,32,26,25
2015,Oceania,Manufacturing,2565357,73885,20837,958110,133783,561598,22516,90,46,21,20
2003,South America,Manufacturing,2532102,47815,21226,901858,184422,465345,27426,54,5,16,21
2000,Europe,Manufacturing,591095,20366,13253,835879,203468,569265,39172,59,35,17,10
2010,Europe,Construction,1934588,76048,18700,631537,298461,429682,18111,83,21,32,26
2010,North America,Transportation,1836781,41675,14388,446684,159259,762993,24018,45,15,31,26
2013,Africa,Energy,2977131,32566,15720,772547,228719,892964,22920,48,40,19,24
2012,Africa,Construction,1961532,58895,16650,962336,369973,509816,14919,78,34,18,30
2008,Europe,Construction,1879538,12205,11024,810989,209295,422976,30424,58,16,15,26
2006,South America,Construction,1406327,61714,12812,929529,268213,397396,15494,60,38,28,27
2010,Africa,Agriculture,1979407,89828,19872,850780,229691,704416,26572,50,39,30,28
2019,Asia,Energy,1379182,49763,21245,787077,126524,567977,34765,81,34,13,11
2015,South America,Retail,2348000,48875,16332,623393,188989,265834,20457,42,41,34,26
2017,Oceania,Transportation,2950576,78600,15664,695341,77698,457605,35222,44,32,22,13
2017,South America,Manufacturing,270465,58909,24167,796193,246901,367548,3626,70,15,12,11
2011,Oceania,Energy,2059469,66279,24332,203963,225668,662816,18100,56,24,20,10
2003,Europe,Retail,1541568,40372,17010,416761,31592,176013,26698,89,7,26,34
2016,Oceania,Energy,1282388,63118,10637,435814,238928,546950,35984,87,37,10,17
2015,Europe,Construction,3906402,29603,6021,437325,95151,343899,26262,44,25,36,17
2011,Asia,Retail,1573981,37170,15969,470597,264618,431917,32605,56,40,37,33
2019,South America,Retail,3466257,45785,12220,830678,289069,349821,30420,92,21,15,24
2009,Africa,Transportation,2057024,53866,11663,541612,222210,459522,9918,54,5,24,32
2022,Asia,Energy,2215842,57789,11187,642237,163087,409738,36854,90,45,33,20
2021,Europe,Manufacturing,3831061,57930,18506,721812,116486,477880,7996,91,27,19,10
2020,Asia,Transportation,2927373,62338,12198,706234,106457,281351,32092,79,13,13,20
2019,Africa,Construction,134176,53428,20884,799642,111915,320332,33609,71,44,34,21
2021,Asia,Agriculture,1890728,17150,24719,704305,320266,491007,19720,45,22,26,34
2019,Asia,Agriculture,2661120,64424,20742,741253,222074,401348,22571,71,24,23,22
2016,South America,Transportation,1208715,60973,-420,396710,68574,376311,38000,69,19,28,19
2003,Europe,Energy,4007578,48278,24232,543179,141659,814758,25529,41,20,19,18
2007,Africa,Retail,1401322,49212,8777,600467,213013,485154,19066,76,19,24,10
2015,Africa,Energy,1412539,43798,9263,764691,183902,148894,26613,52,25,39,19
2011,Europe,Transportation,1671233,12711,16624,779792,192784,484502,24734,87,22,33,32
2020,Europe,Manufacturing,2133158,48424,19001,868253,181500,761874,22845,71,25,11,12
2000,Asia,Energy,1830615,29169,22041,316454,155666,521820,24789,41,15,27,22
2006,Asia,Construction,2737074,31409,12800,470648,96866,515399,36177,41,26,12,18
2001,Africa,Energy,2285266,19880,13725,950696,323473,226851,17868,79,26,31,13
2012,South America,Agriculture,2619875,62283,12699,867123,238703,638557,38956,82,32,12,12
2018,North America,Manufacturing,2230004,38307,25713,1178224,192819,413941,27014,55,6,28,27
2011,Europe,Construction,2437863,39629,12223,852286,199704,454023,20670,86,34,18,32
2000,Asia,Energy,1167624,47268,16263,795982,288067,871558,25322,87,25,38,13
2011,Europe,Retail,2432205,24044,18114,936158,90166,769294,26790,42,37,10,11
2016,South America,Retail,1067645,71383,20344,337650,136983,370006,34019,52,6,36,34
2001,Asia,Energy,3105263,59545,6598,524313,249579,915881,39644,44,23,23,12
2012,Africa,Retail,1532992,63700,17804,914878,200731,512534,35552,65,20,19,27
2010,Europe,Manufacturing,2733882,55939,13775,814697,300604,748518,19571,46,36,34,32
2020,Oceania,Energy,2395219,103849,16290,1256973,284628,498358,24808,67,13,18,20
2012,South America,Construction,1091592,79944,10975,885725,307856,462794,37917,76,28,16,23
2009,North America,Agriculture,3335757,60200,23587,833097,136882,431693,34405,49,46,27,14
